475369.893653	 7865895.286188	 475369.416001	 7865890.974645	 9.026531	 3574954.350933
475372.232449	 7865890.447815	 475371.874911	 7865886.292331	 11.622501	 2340876.105912
475370.531387	 7865900.874766	 475369.916676	 7865895.420303	 8.873215	 3647836.048191
475372.311292	 7865904.585717	 475371.758127	 7865899.687055	 8.855701	 3656149.750123
475371.646015	 7865897.521621	 475371.148140	 7865894.424972	 6.219737	 4909211.108832
475374.116076	 7865893.872216	 475373.674175	 7865890.274237	 8.142037	 3995380.092587
475374.045772	 7865896.279755	 475371.608544	 7865894.548043	 0.710525	 7528130.991033
475385.818603	 7865903.888324	 475372.557843	 7865905.453354	 -0.118020	 7922008.762103
475377.771798	 7865899.644421	 475372.840759	 7865905.282205	 -1.143325	 8409411.141534
475374.212044	 7865890.647816	 475376.471558	 7865892.279765	 0.722257	 7522548.407556
475375.829620	 7865901.419538	 475377.598694	 7865899.491265	 -1.089990	 8384056.289282
475377.574592	 7865899.387399	 475374.139198	 7865896.877381	 0.730635	 7518572.065033
475374.143929	 7865894.199799	 475377.086355	 7865896.409883	 0.751109	 7508836.209116
475374.228974	 7865894.019744	 475377.818440	 7865896.733677	 0.756083	 7506471.684953
475377.673782	 7865887.756922	 475374.664115	 7865888.047965	 -0.096703	 7911858.009100
475375.105783	 7865897.297594	 475378.988582	 7865899.489838	 0.564604	 7597498.490348
475377.716005	 7865893.068311	 475379.537193	 7865890.619293	 -1.344737	 8505151.103835
475380.130682	 7865889.267307	 475375.348319	 7865889.774687	 -0.106094	 7916324.218647
475375.327449	 7865889.399496	 475380.625401	 7865888.802145	 -0.112751	 7919488.562651
475380.678490	 7865892.049582	 475385.616208	 7865891.446278	 -0.122183	 7923975.387161
475381.522780	 7865899.319150	 475385.962146	 7865892.886623	 -1.448974	 8554714.884883
475385.986048	 7865893.429278	 475387.282779	 7865903.623507	 7.861488	 4128652.320888
475378.355887	 7865896.723956	 475380.988048	 7865892.374993	 -1.652240	 8651335.954671
475378.773363	 7865896.323868	 475380.652366	 7865893.606802	 -1.446014	 8553300.618053
475378.973904	 7865896.265396	 475383.324327	 7865895.769098	 -0.114081	 7920127.794530
475382.163032	 7865885.728015	 475384.048309	 7865884.044194	 -0.893143	 8290469.779552
475384.147589	 7865884.152230	 475382.214984	 7865886.014606	 -0.963661	 8323993.245179
475379.691402	 7865896.404463	 475383.177662	 7865895.997818	 -0.116642	 7921345.672565
475381.547384	 7865885.711732	 475379.976317	 7865883.893763	 1.157156	 7315795.265265
475380.096735	 7865883.789240	 475381.680045	 7865885.604405	 1.146437	 7320890.586043
475383.644266	 7865888.300025	 475382.018358	 7865886.303172	 1.228147	 7282047.487644
475381.937711	 7865886.287570	 475380.217623	 7865887.726317	 -0.836438	 8263513.675499
475380.923673	 7865888.812300	 475384.061950	 7865888.484435	 -0.104473	 7915553.226396
475381.505720	 7865898.780799	 475383.223982	 7865896.295127	 -1.446620	 8553595.096352
475383.458066	 7865887.813816	 475382.012110	 7865885.934920	 1.299414	 7248167.859834
475383.010940	 7865899.911245	 475384.817233	 7865901.525814	 0.893858	 7440975.222894
475383.287448	 7865896.133899	 475384.910405	 7865893.863778	 -1.398757	 8530841.908833
475384.296526	 7865900.828615	 475383.821461	 7865897.086416	 7.877240	 4121184.803307
475384.380565	 7865888.875833	 475384.910111	 7865885.337739	 -6.681375	 11042109.980035
475385.122046	 7865909.673650	 475393.713754	 7865909.179480	 -0.057517	 7893252.412965
